version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v23,1,11,1,1,0,0,0,100,59.3,33.4,6,passive,custom-c2738ec4-135,survival,0,v23-custom-c2738ec4-135-t1.jsonl,20
v23,2,7,1,1,0,0,0,98,59.4,36.1,6,passive,custom-c2738ec4-135,survival,0,v23-custom-c2738ec4-135-t2.jsonl,21
v23,3,9,1,1,0,0,0,99,59.4,44.0,6,passive,custom-c2738ec4-135,survival,0,v23-custom-c2738ec4-135-t3.jsonl,18
v23,4,11,1,1,1,1,0,98,59.6,46.0,6,passive,custom-c2738ec4-135,survival,0,v23-custom-c2738ec4-135-t4.jsonl,13
v23,5,12,1,3,0,0,1,97,59.8,46.5,6,passive,custom-c2738ec4-135,survival,0,v23-custom-c2738ec4-135-t5.jsonl,16
v23,1,11,0,3,1,1,2,98,60.0,59.2,6,hunter,custom-c69c5ff7-f4e,survival,0,v23-custom-c69c5ff7-f4e-t1.jsonl,10
v23,2,6,1,1,1,1,2,99,59.7,48.6,4,hunter,custom-c69c5ff7-f4e,survival,0,v23-custom-c69c5ff7-f4e-t2.jsonl,12
v23,3,2,0,1,1,1,1,99,60.0,59.6,3,hunter,custom-c69c5ff7-f4e,survival,0,v23-custom-c69c5ff7-f4e-t3.jsonl,0
v23,4,3,1,2,1,1,4,98,60.0,58.1,4,hunter,custom-c69c5ff7-f4e,survival,0,v23-custom-c69c5ff7-f4e-t4.jsonl,0
v23,5,1,1,1,1,1,2,99,59.8,52.0,3,hunter,custom-c69c5ff7-f4e,survival,0,v23-custom-c69c5ff7-f4e-t5.jsonl,0
v23,1,5,0,2,1,1,2,99,60.0,59.4,4,hunter,custom-a6b7c90f-813,survival,0,v23-custom-a6b7c90f-813-t1.jsonl,13
v23,2,0,0,0,0,0,0,100,0,0,0,hunter,custom-a6b7c90f-813,survival,0,v23-custom-a6b7c90f-813-t2.jsonl,0
v23,3,0,2,1,0,0,0,98,59.4,40.7,3,hunter,custom-a6b7c90f-813,survival,0,v23-custom-a6b7c90f-813-t3.jsonl,0
v23,4,8,0,3,1,1,5,99,59.9,56.1,6,hunter,custom-a6b7c90f-813,survival,0,v23-custom-a6b7c90f-813-t4.jsonl,12
v23,5,1,1,1,1,1,3,98,59.7,42.6,3,hunter,custom-a6b7c90f-813,survival,0,v23-custom-a6b7c90f-813-t5.jsonl,3
v23,1,13,14,0,0,0,71,100,58.7,50.0,72,passive-nofire,custom-5f697a3b-742,campaign,1,v23-custom-5f697a3b-742-t1-noaim.jsonl,0
v23,2,13,14,0,1,1,72,100,58.6,50.0,72,passive-nofire,custom-5f697a3b-742,campaign,1,v23-custom-5f697a3b-742-t2-noaim.jsonl,0
v23,3,11,12,0,0,0,71,100,58.8,44.5,72,passive-nofire,custom-5f697a3b-742,campaign,1,v23-custom-5f697a3b-742-t3-noaim.jsonl,0
v23,4,14,13,0,1,1,71,100,58.6,47.7,72,passive-nofire,custom-5f697a3b-742,campaign,1,v23-custom-5f697a3b-742-t4-noaim.jsonl,0
v23,5,13,14,0,0,0,71,100,58.4,44.6,72,passive-nofire,custom-5f697a3b-742,campaign,1,v23-custom-5f697a3b-742-t5-noaim.jsonl,0
v23,1,29,13,0,1,1,69,99,58.5,47.8,72,passive,custom-5f697a3b-742,campaign,0,v23-custom-5f697a3b-742-t1.jsonl,2
v23,2,32,12,0,0,0,69,99,58.3,42.7,72,passive,custom-5f697a3b-742,campaign,0,v23-custom-5f697a3b-742-t2.jsonl,3
v23,3,5,3,0,1,1,2,98,59.9,54.0,72,passive,custom-5f697a3b-742,campaign,0,v23-custom-5f697a3b-742-t3.jsonl,0
v23,4,31,11,0,1,1,70,102,59.7,55.1,72,passive,custom-5f697a3b-742,campaign,0,v23-custom-5f697a3b-742-t4.jsonl,2
v23,5,24,11,0,1,1,71,99,58.7,44.5,72,passive,custom-5f697a3b-742,campaign,0,v23-custom-5f697a3b-742-t5.jsonl,2
v24,99,3,0,2,1,1,4,46,60.1,59.7,4,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t99.jsonl,14
v24,98,1,1,1,0,0,2,38,59.9,48.3,3,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t98.jsonl,0
v24,97,1,1,1,0,0,2,38,59.8,46.9,3,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t97.jsonl,0
v24,96,4,0,2,1,1,3,44,60.0,56.1,4,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t96.jsonl,1
v24,95,3,0,2,1,1,0,39,60.0,59.4,3,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t95.jsonl,10
v25,94,4,0,2,1,1,3,39,60.0,56.0,4,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t94.jsonl,13
