version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v27,1,11,0,3,1,1,2,99,59.9,55.7,6,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t1.jsonl,0
v27,2,7,0,3,1,1,6,99,60.0,59.6,6,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t2.jsonl,0
v27,3,5,0,2,1,1,2,98,59.9,55.6,4,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t3.jsonl,0
v27,4,3,0,2,1,1,4,99,59.9,55.8,4,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t4.jsonl,0
v27,5,2,1,1,0,0,0,99,59.7,49.2,3,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t5.jsonl,0
v27,6,1,1,1,0,0,0,99,59.8,50.5,3,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t6.jsonl,0
v27,7,1,1,1,0,0,0,99,59.7,51.9,3,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t7.jsonl,0
v27,8,11,0,3,1,1,2,98,59.9,55.7,6,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t8.jsonl,0
v27,9,4,0,2,1,1,3,99,60.0,59.3,4,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t9.jsonl,0
v27,10,8,1,1,1,1,3,99,59.6,33.9,6,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t10.jsonl,0
v27,11,9,0,3,1,1,4,99,60.0,57.9,6,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t11.jsonl,0
v27,12,3,0,2,1,1,4,99,59.9,56.1,4,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t12.jsonl,0
v27,13,6,0,2,1,1,1,99,59.9,52.8,4,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t13.jsonl,0
v27,14,6,0,2,1,1,1,99,60.0,59.5,4,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t14.jsonl,0
v27,15,3,1,1,0,0,4,99,59.6,43.2,4,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t15.jsonl,0
v27,16,9,0,3,1,1,4,98,59.9,56.7,6,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t16.jsonl,0
v27,17,0,1,1,1,1,3,99,59.8,49.9,3,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t17.jsonl,0
v27,18,3,1,1,0,0,0,98,59.7,50.0,4,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t18.jsonl,0
v27,19,10,0,3,1,1,3,99,59.9,56.1,6,hunter,custom-c69c5ff7-f4e,survival,0,v27-custom-c69c5ff7-f4e-t19.jsonl,0
